Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
-11,1794,1800,69946.826,70247.0,-3301.9139999999898,-0.00429145991556501,2024-03-30 10:30:00,2024-03-30 12:00:00,0 days 01:30:00
-11,1801,1803,69947.824,70113.0,-1816.9360000000743,-0.002361417275825506,2024-03-30 12:15:00,2024-03-30 12:45:00,0 days 00:30:00
-10,1804,1835,69956.806,70069.0,-1121.9400000000314,-0.0016037610407770853,2024-03-30 13:00:00,2024-03-30 20:45:00,0 days 07:45:00
10,1836,1841,70215.15,69925.0,-2901.499999999942,-0.004132299083602242,2024-03-30 21:00:00,2024-03-30 22:15:00,0 days 01:15:00
-10,1842,1847,69843.034,70152.0,-3089.6600000000035,-0.0044237196224894415,2024-03-30 22:30:00,2024-03-30 23:45:00,0 days 01:15:00
10,1848,1854,70327.374,70305.0,-223.73999999996158,-0.0003181407000920622,2024-03-31 00:00:00,2024-03-31 01:30:00,0 days 01:30:00
10,1855,1856,70499.718,70301.0,-1987.1799999999348,-0.0028187063102861343,2024-03-31 01:45:00,2024-03-31 02:00:00,0 days 00:15:00
10,1857,1858,70493.706,70304.0,-1897.0600000000559,-0.002691105500964963,2024-03-31 02:15:00,2024-03-31 02:30:00,0 days 00:15:00
10,1859,1864,70490.7,70364.0,-1266.999999999971,-0.0017974002244267595,2024-03-31 02:45:00,2024-03-31 04:00:00,0 days 01:15:00
-10,1865,1867,70175.368,70402.0,-2266.319999999978,-0.0032295092488863197,2024-03-31 04:15:00,2024-03-31 04:45:00,0 days 00:30:00
-10,1868,1873,70197.324,70477.0,-2796.7600000000675,-0.003984140478061615,2024-03-31 05:00:00,2024-03-31 06:15:00,0 days 01:15:00
10,1874,1890,70610.94,70412.0,-1989.4000000000233,-0.0028174104465965577,2024-03-31 06:30:00,2024-03-31 10:30:00,0 days 04:00:00
-10,1891,1893,70325.068,70628.0,-3029.320000000007,-0.004307596261407198,2024-03-31 10:45:00,2024-03-31 11:15:00,0 days 00:30:00
10,1894,1938,70740.198,70690.0,-501.9800000000396,-0.000709610679913597,2024-03-31 11:30:00,2024-03-31 22:30:00,0 days 11:00:00
-10,1939,1945,70490.736,70520.0,-292.63999999995576,-0.0004151467506310347,2024-03-31 22:45:00,2024-04-01 00:15:00,0 days 01:30:00
-10,1946,1951,70316.086,69729.0,5870.859999999957,0.008349241736805402,2024-04-01 00:30:00,2024-04-01 01:45:00,0 days 01:15:00
10,1952,1957,69837.396,69522.0,-3153.9599999999336,-0.004516147767021472,2024-04-01 02:00:00,2024-04-01 03:15:00,0 days 01:15:00
-10,1958,1961,69314.094,69649.0,-3349.060000000027,-0.004831715754663124,2024-04-01 03:30:00,2024-04-01 04:15:00,0 days 00:45:00
-10,1962,1968,69426.868,69620.0,-1931.3199999999779,-0.0027818048770398285,2024-04-01 04:30:00,2024-04-01 06:00:00,0 days 01:30:00
10,1969,1971,69925.572,69595.0,-3305.720000000001,-0.004727483673640842,2024-04-01 06:15:00,2024-04-01 06:45:00,0 days 00:30:00
-10,1972,1973,69397.926,69665.0,-2670.7399999999325,-0.003848443539940849,2024-04-01 07:00:00,2024-04-01 07:15:00,0 days 00:15:00
10,1974,1982,69923.568,69498.0,-4255.679999999993,-0.006086188279179283,2024-04-01 07:30:00,2024-04-01 09:30:00,0 days 02:00:00
